cc_id;code;name;owner
1;CC-010;Производство Север;Операционный блок
2;CC-020;Производство Юг;Коммерческий блок
3;CC-030;Коммерция B2B;Технологический блок
4;CC-040;Коммерция B2C;HR блок
5;CC-050;ИТ инфраструктура;Финансовый блок
6;CC-060;ИТ разработка;Логистика
7;CC-070;HR и обучение;Маркетинг
8;CC-080;Финансы;АХО
9;CC-090;Логистика склад;Юридический блок
10;CC-100;Логистика транспорт;Проектный офис
11;CC-110;Маркетинг performance;Закупки
12;CC-120;Маркетинг бренд;Клиентский сервис
13;CC-130;АХО;Операционный блок
14;CC-140;Юридический департамент;Коммерческий блок
15;CC-150;Проектный офис;Технологический блок
